,lat,lon,year,month,temp_month,precip_month,gisacres,fires_target
0,39.26211028721491,-108.70553651118291,2005,7,80.06017578125005,0.0019511691125291,17.51150937,0
1,39.24629893091578,-108.70031098965698,2017,5,61.22873046875005,0.0350265201185131,0.70730139,0
2,39.26130103067896,-108.71466931820386,2016,7,78.09538085937504,0.0150241444487619,0.1235982,0
3,40.74856283988963,-107.75665455337936,2015,9,61.49416015625005,0.0272600968929822,7.22590469,0
4,39.20846708841309,-108.65497938900153,2017,5,61.22873046875005,0.0350265201185131,28.77381076,0
5,37.10055385354079,-107.88499601534475,2015,4,46.31940429687504,0.0290180287844967,52.96156487,0
6,39.66415854521013,-107.59837560768902,2017,9,55.24206054687504,0.062564927696716,3.05388126,0
7,39.68453184311453,-107.6464775804984,2015,3,30.25563476562504,0.0531619149934384,3.47057621,0
8,39.1802271514785,-108.56947266653816,2016,8,73.10099609375004,0.0336152723259525,12.48924247,0
9,39.16772131233579,-108.57538637838246,2008,7,79.29069335937504,0.0113870471049332,12.15690334,0
10,39.17326111757619,-108.57346638382582,2008,7,79.29069335937504,0.0113870471049332,15.7951564,0
11,37.35241478897371,-107.30170586976928,2001,5,45.05377929687504,0.0405566633868031,115.83456486,0
12,40.55120814125162,-108.337424323923,2010,8,70.50207031250005,0.0383248750467668,118.84272246,0
13,39.46643866538009,-107.95565642741688,2016,9,58.52741210937504,0.0465109436511294,4.43093561,0
14,39.47732569055661,-107.90358168972983,2007,7,72.10255859375005,0.0149593906826688,178.89419521,0
15,37.332776155961135,-107.66570545776416,2018,5,55.33302734375005,0.0553686281929374,50.91803675,0
16,39.41144951825716,-105.82894263087007,2016,5,35.86657226562504,0.083815896179364,8.29567636,0
17,39.35454425457415,-105.72626264614176,2017,6,52.63126953125004,0.0638358720343094,77.50695884,0
18,37.49440200162482,-107.90430874052016,2018,7,61.56623046875004,0.2135728047859855,54086.36098606,1
19,39.295504635189744,-108.2462273731379,2011,6,69.87936523437504,0.031392215139768,18.35036516,0
20,40.552741968584066,-106.9965169995522,2012,11,32.20109375000004,0.0209911238440778,45.77735189,0
21,38.39271151728027,-108.48706175707892,2002,12,25.93668945312504,0.0259208845571614,1407.53814314,1
22,39.176376028331305,-108.56765878475248,2007,6,74.08800781250005,0.0052305524007417,32.87542314,0
23,39.19961310297481,-108.51334455743708,2007,6,72.59386718750005,0.0053467111215926,27.31309008,0
24,39.35447102490214,-105.68950737330798,2017,3,26.22233398437504,0.0396000222547445,308.07431435,0
25,40.43048828104795,-108.1007014586275,2014,6,65.66237304687505,0.0090327796969795,0.30801405,0
26,40.510569930918365,-107.64802988278254,2009,9,59.73634765625005,0.0274363974515465,24.99515704,0
27,40.59773829072554,-107.77039361626282,2012,7,74.18336914062505,0.0232151251865318,21.55131316,0
28,39.21559394476764,-108.96197255877246,2007,6,75.73332031250004,0.0032054013685323,16.39735367,0
29,39.040441926883744,-105.47427515289954,2013,3,22.39821289062504,0.0357872075750958,14.69950037,0
30,40.19893085345652,-108.60780160984464,2006,5,62.25177734375004,0.0176749628619058,71.86427341,0
31,38.54358384927879,-105.09471030371576,2014,7,70.59611328125004,0.108125995141291,528.52676996,1
32,39.251027793240524,-108.93262890293398,2007,8,79.37638671875004,0.0151014243269164,61.95906509,0
33,39.19179929387001,-108.490777106636,2017,5,57.66740234375004,0.0348481754157925,8.14111013,0
34,40.45839600424078,-108.306143383792,2006,6,72.47433593750004,0.0028377653648858,270.77081801,0
35,40.180680542412674,-108.9592234316345,2006,5,63.08498046875005,0.0158017568231327,48.82090156,0
36,38.49038165106352,-106.98783148464491,2018,10,38.99152343750004,0.0933521219990216,10.12171799,0
37,40.9184357398029,-108.34233505329072,2012,6,70.11359375000004,0.0037034959355587,1153.14387409,1
38,40.72463767353277,-107.94524681804523,2010,8,66.81417968750004,0.047465627721406,539.09170346,1
39,38.20415990995146,-105.17227507257893,2018,7,63.23966796875004,0.1182235081133432,70.23676584,0
40,40.706542596647814,-107.53481480277544,2012,7,71.35329101562505,0.032678834304749,52.61322564,0
41,37.207524014598576,-107.9006884858804,2012,7,71.81032226562505,0.0399369943773141,518.91534532,1
42,38.205196814680306,-108.2796385902708,2008,9,60.22106445312504,0.0212325666019576,412.38775647,0
43,40.669103609368825,-108.05612218270254,2010,8,69.10285156250004,0.0397158463959465,7863.75810212,1
44,40.76431464363357,-107.96664717931776,2014,8,65.80958984375005,0.0783096134816529,19554.00227575,1
45,40.03189654970235,-108.25911409711708,2008,11,36.68351562500004,0.0433945908853202,11.95751475,0
46,40.53494419037366,-108.501801648933,2009,8,71.03732421875004,0.0131764753162744,2065.31121007,1
47,38.65402471072553,-106.84537738074413,2001,7,58.62057617187504,0.0479369954473339,160.81891964,0
48,37.88203745878374,-107.8804144776104,2003,8,52.15885742187504,0.2198583555690013,119.97795594,0
49,37.28685746164012,-103.1735019083116,2002,4,56.75817382812504,0.027129647496168,113.76721783,0
50,37.29023667960669,-103.18533361330935,2002,4,56.75817382812504,0.027129647496168,608.93832575,1
51,40.68940470874433,-106.24239492167555,2015,10,41.72711914062504,0.0458828780674375,213.50641313,0
52,39.29266351429484,-108.17939019444948,2008,7,78.72467773437504,0.0137289946485543,129.80314475,0
53,39.49928662030276,-108.80730203244654,2018,8,73.26359375000004,0.0192574902266555,16.78284716,0
